Reference,Vial,Species,mtORF,psba_Clade,psba_forwardQC,psba_reverseQC,psba_ID,mt_forwardQC,mt_reverseQC,mtorf_ID,sample_name,Reef,Site,DateCollect,catBleaching,Depth,DHW2020,Lat,Long,Exposure,Aspect,Sector,maxDHW,meanDHW,recent.maxDHW,recent.meanDHW,DHW2,DHW3,DHW4,DHW6,DHW8,DHW9,returnDHW3,returnDHW4,returnDHW6,meanSST,minSST,maxSST,rangeSST,varSST,Month,MMM
574,P ver 102,Unknown,Haplotype8a,,,,,Good,Good,mtORF1_B01,Plate1_B005,Marion,Marion 6,24/2/2020,5,6.77,6.219999861,19.12125,152.39993,Exposed,SE,Central,12.68999972,2.305555504,11.37999975,4.579999898,9,9,7,4,2,2,4.125,5.5,5.333333333,25.89770985,22.915,29.17230769,6.257307692,2.618386618,2,28.1
549,P ver 007,Unknown,Haplotype8a,,,,,Good,Good,mtORF1_B02,Plate1_F001,Saumarez,Saumarez 3,18/2/2020,5,4.5,5.49999988,21.9178,153.58452,Sheltered,NW,Southern,11.34999975,1.630277741,11.34999975,3.519999921,7,7,6,2,1,1,5.666666667,6.8,16,25.57165895,22.60423077,28.91807692,6.313846154,2.744465757,2,27.83
570,P ver 089,Unknown,Haplotype8a,PunkC1,Good,Good,psba1_G02,Good,Good,mtORF1_B03,Plate2_C004,Marion,Marion 8,23/2/2020,4,4.84,6.08,19.29981,152.23572,Exposed,S,Central,11.83,2.281666667,11.37,4.086,8,8,7,2,2,2,4.714285714,5.5,16,25.87249498,22.89153846,29.18884615,6.297307692,2.650851433,2,28.08
557,P ver 038,Unknown,Haplotype8a,,,,,Good,Good,mtORF1_B04,Plate2_F002,Wreck,Wreck 1,20/2/2020,4,4.5,5.52999988,22.19267,155.33405,Sheltered,NW,Southern,12.57999972,2.533888832,12.57999972,3.431999923,13,13,11,5,2,1,2.833333333,3.4,8.5,25.03399837,22.00807692,28.37884615,6.370769231,2.760167792,2,27.25
565,P ver 070,Unknown,Haplotype8a,,,,,Good,Good,mtORF1_B05,Plate3_B003,Frederick,Frederick 4,22/2/2020,3,6.8,7.01,20.93838,154.39737,Sheltered,W,Southern,12.51,2.380555556,12.51,4.532,9,9,7,4,3,1,4.25,5.5,5.333333333,25.45552554,22.48269231,28.79538462,6.312692308,2.625647495,2,27.69
584,P ver 181,Unknown,Haplotype8a,,,,,Good,Good,mtORF1_B06,Plate3_D006,Chilcott,Chilcott 4,1/3/2020,3,5.81,6.649999851,16.93601,149.99835,Sheltered,NE,Central,9.679999784,1.939166623,9.679999784,5.409999879,10,10,6,3,3,1,3.666666667,6.6,2,26.53450512,23.68807692,29.59038462,5.902307692,2.2667553,2,28.54
590,P ver 250,Unknown,Unknown,PunkC3,Good,Bad,psba1_C06,Bad,Good,mtORF1_B07,Plate3_H007,Moore,Moore 5,7/3/2020,5,10.65,9,15.97315,149.35715,Exposed,E,Central,11.32,2.067222222,11.32,5.72,7,7,6,5,2,1,5.5,6.6,8.25,26.76706901,23.97884615,29.89230769,5.913461538,2.30675532,2,28.78
580,P ver 158,Unknown,Haplotype8a,,,,,Good,Good,mtORF1_B08,Plate4_F005,Herald,Herald 1,29/2/2020,4,7.42,7.959999822,16.94348,149.18565,Semi-exposed,N,Central,11.91999973,2.054999954,11.91999973,5.719999872,6,6,6,4,2,1,6.6,6.6,6,26.55217763,23.66230769,29.79269231,6.130384615,2.42345475,2,28.62
357,P ver 245,Pmeandrina,Pmeandrina,,,,,Good,Good,mtORF1_B09,Plate4_H006,Moore,Moore 5,7/3/2020,4,10.32,9,15.97315,149.35715,Exposed,E,Central,11.32,2.067222222,11.32,5.72,7,7,6,5,2,1,5.5,6.6,8.25,26.76706901,23.97884615,29.89230769,5.913461538,2.30675532,2,28.78
524,P ver 359,Pverrucosa,Pverrucosa,,,,,Good,Good,mtORF1_B10,Plate4_F008,Bougainville,Bougainville 4,10/3/2020,1,10.97,10,15.50667,147.11234,Semi-exposed,SW,Northern,11.11,2.691111111,11.11,6.598,12,12,8,6,3,3,3.090909091,4.714285714,3.6,26.81601412,23.9,30.13423077,6.234230769,2.472540821,2,28.88
558,P ver 041,Unknown,Haplotype8a,PunkC2,Good,Good,psba1_C01,Good,Good,mtORF1_C01,Plate1_C003,Wreck,Wreck 1,20/2/2020,5,9.4,5.52999988,22.19267,155.33405,Sheltered,NW,Southern,12.57999972,2.533888832,12.57999972,3.431999923,13,13,11,5,2,1,2.833333333,3.4,8.5,25.03399837,22.00807692,28.37884615,6.370769231,2.760167792,2,27.25
568,P ver 086,Unknown,Haplotype8a,,,,,Good,Good,mtORF1_C02,Plate1_F004,Marion,Marion 8,23/2/2020,3,3.55,6.08,19.29981,152.23572,Exposed,S,Central,11.83,2.281666667,11.37,4.086,8,8,7,2,2,2,4.714285714,5.5,16,25.87249498,22.89153846,29.18884615,6.297307692,2.650851433,2,28.08
588,P ver 214,Unknown,Unknown,PunkC3,Good,Good,psba1_A03,Bad,Good,mtORF1_C03,Plate2_C007,Lihou,Lihou 2,4/3/2020,3,10.65,7.719999827,17.59065,151.50027,Sheltered,N,Central,11.50999974,2.617777719,11.11999975,5.443999878,9,9,8,5,3,3,4.125,4.714285714,4,26.2792278,23.40461538,29.45730769,6.052692308,2.389980067,2,28.35
564,P ver 068,Unknown,Haplotype8a,,,,,Good,Good,mtORF1_C04,Plate2_F003,Frederick,Frederick 4,22/2/2020,4,7.1,7.01,20.93838,154.39737,Sheltered,W,Southern,12.51,2.380555556,12.51,4.532,9,9,7,4,3,1,4.25,5.5,5.333333333,25.45552554,22.48269231,28.79538462,6.312692308,2.625647495,2,27.69
603,P ver 355,Unknown,Haplotype8a,,,,,Good,Good,mtORF1_C05,Plate3_B011,Bougainville,Bougainville 4,10/3/2020,2,7.1,10,15.50667,147.11234,Semi-exposed,SW,Northern,11.11,2.691111111,11.11,6.598,12,12,8,6,3,3,3.090909091,4.714285714,3.6,26.81601412,23.9,30.13423077,6.234230769,2.472540821,2,28.88
591,P ver 256,Unknown,Haplotype8a,PunkC1,Bad,Bad,psba1_F05,Good,Good,mtORF1_C06,Plate3_D008,Moore,Moore 5,7/3/2020,1,6.77,9,15.97315,149.35715,Exposed,E,Central,11.32,2.067222222,11.32,5.72,7,7,6,5,2,1,5.5,6.6,8.25,26.76706901,23.97884615,29.89230769,5.913461538,2.30675532,2,28.78
595,P ver 272,Unknown,Haplotype8a,,,,,Good,Good,mtORF1_C07,Plate3_H008,Moore,Moore 4,7/3/2020,6,3.2,9.09,15.96481,149.19427,Sheltered,W,Central,11.42,2.144722222,11.42,5.8,7,7,6,5,2,2,5.5,6.6,4.5,26.77784562,23.97192308,29.985,6.013076923,2.364033961,2,28.82
581,P ver 159,Unknown,Haplotype8a,,,,,Good,Good,mtORF1_C08,Plate4_G005,Herald,Herald 1,29/2/2020,1,7.1,7.959999822,16.94348,149.18565,Semi-exposed,N,Central,11.91999973,2.054999954,11.91999973,5.719999872,6,6,6,4,2,1,6.6,6.6,6,26.55217763,23.66230769,29.79269231,6.130384615,2.42345475,2,28.62
378,P ver 290,Pmeandrina,Pmeandrina,,,,,Good,Good,mtORF1_C09,Plate4_H007,Holmes,Holmes 7,8/3/2020,1,5.81,9.67,16.42693,147.98442,Semi-sheltered,NW,Central,11,2.188611111,11,5.4,8,8,6,5,3,3,4.714285714,6.6,8.25,26.61521342,23.67769231,29.91846154,6.240769231,2.536093596,2,28.76
575,P ver 106,Unknown,Unknown,PunkC2,Good,Bad,psba1_D01,Bad,Bad,mtORF1_D01,Plate1_C005,Marion,Marion 6,24/2/2020,5,10.65,6.219999861,19.12125,152.39993,Exposed,SE,Central,12.68999972,2.305555504,11.37999975,4.579999898,9,9,7,4,2,2,4.125,5.5,5.333333333,25.89770985,22.915,29.17230769,6.257307692,2.618386618,2,28.1
560,P ver 052,Unknown,Haplotype8a,PunkC1,Good,Good,psba1_H01,Good,Good,mtORF1_D02,Plate1_G003,Wreck,Wreck 4,20/2/2020,4,6.8,5.73999987,22.16968,155.47392,Sheltered,NE,Southern,12.82999971,2.633611052,12.82999971,3.645999919,13,13,11,6,2,2,2.833333333,3.4,6.8,25.00222234,21.98307692,28.34538462,6.362307692,2.778482312,2,27.22
608,P ver 375,Unknown,Unknown,,,,,Bad,Bad,mtORF1_D03,Plate2_C012,Bougainville,Bougainville 1,10/3/2020,1,3.87,10,15.49273,147.08638,Sheltered,N,Northern,11.11,2.691111111,11.11,6.598,12,12,8,6,3,3,3.090909091,4.714285714,3.6,26.81601412,23.9,30.13423077,6.234230769,2.472540821,2,28.88
552,P ver 021,Unknown,Haplotype8a,,,,,Good,Good,mtORF1_D04,Plate2_G001,Saumarez,Saumarez 7,18/2/2020,5,2.3,5.49999988,21.91194,153.59119,Sheltered,NW,Southern,11.34999975,1.630277741,11.34999975,3.519999921,7,7,6,2,1,1,5.666666667,6.8,16,25.57165895,22.60423077,28.91807692,6.313846154,2.744465757,2,27.83
606,P ver 370,Unknown,Unknown,,,,,Good,Good,mtORF1_D05,Plate3_B012,Bougainville,Bougainville 1,10/3/2020,2,9.03,10,15.49273,147.08638,Sheltered,N,Northern,11.11,2.691111111,11.11,6.598,12,12,8,6,3,3,3.090909091,4.714285714,3.6,26.81601412,23.9,30.13423077,6.234230769,2.472540821,2,28.88
561,P ver 053,Unknown,Haplotype8a,,,,,Good,Good,mtORF1_D06,Plate3_E002,Wreck,Wreck 4,20/2/2020,5,9.7,5.73999987,22.16968,155.47392,Sheltered,NE,Southern,12.82999971,2.633611052,12.82999971,3.645999919,13,13,11,6,2,2,2.833333333,3.4,6.8,25.00222234,21.98307692,28.34538462,6.362307692,2.778482312,2,27.22
599,P ver 292,Unknown,Haplotype8a,,,,,Good,Good,mtORF1_D07,Plate3_H009,Holmes,Holmes 7,8/3/2020,3,7.1,9.67,16.42693,147.98442,Semi-sheltered,NW,Central,11,2.188611111,11,5.4,8,8,6,5,3,3,4.714285714,6.6,8.25,26.61521342,23.67769231,29.91846154,6.240769231,2.536093596,2,28.76
598,P ver 288,Unknown,Unknown,,,,,Bad,Bad,mtORF1_D08,Plate4_G007,Holmes,Holmes 7,8/3/2020,4,8.71,9.67,16.42693,147.98442,Semi-sheltered,NW,Central,11,2.188611111,11,5.4,8,8,6,5,3,3,4.714285714,6.6,8.25,26.61521342,23.67769231,29.91846154,6.240769231,2.536093596,2,28.76
385,P ver 361,Pmeandrina,Pmeandrina,PmeaC4,Good,Good,psba1_G01,Good,Good,mtORF1_D09,Plate4_H008,Bougainville,Bougainville 4,10/3/2020,3,16.45,10,15.50667,147.11234,Semi-exposed,SW,Northern,11.11,2.691111111,11.11,6.598,12,12,8,6,3,3,3.090909091,4.714285714,3.6,26.81601412,23.9,30.13423077,6.234230769,2.472540821,2,28.88
551,P ver 018,Unknown,Haplotype8a,,,,,Good,Good,mtORF1_E01,Plate1_D002,Saumarez,Saumarez 7,18/2/2020,4,2.8,5.49999988,21.91194,153.59119,Sheltered,NW,Southern,11.34999975,1.630277741,11.34999975,3.519999921,7,7,6,2,1,1,5.666666667,6.8,16,25.57165895,22.60423077,28.91807692,6.313846154,2.744465757,2,27.83
572,P ver 096,Unknown,Haplotype8a,,,,,Good,Good,mtORF1_E02,Plate1_G004,Marion,Marion 6,24/2/2020,3,6.45,6.219999861,19.12125,152.39993,Exposed,SE,Central,12.68999972,2.305555504,11.37999975,4.579999898,9,9,7,4,2,2,4.125,5.5,5.333333333,25.89770985,22.915,29.17230769,6.257307692,2.618386618,2,28.1
556,P ver 034,Unknown,Haplotype8a,,,,,Good,Good,mtORF1_E03,Plate2_D002,Wreck,Wreck 1,20/2/2020,4,5.5,5.52999988,22.19267,155.33405,Sheltered,NW,Southern,12.57999972,2.533888832,12.57999972,3.431999923,13,13,11,5,2,1,2.833333333,3.4,8.5,25.03399837,22.00807692,28.37884615,6.370769231,2.760167792,2,27.25
567,P ver 085,Unknown,Haplotype8a,,,,,Good,Good,mtORF1_E04,Plate2_G003,Marion,Marion 8,23/2/2020,2,4.52,6.08,19.29981,152.23572,Exposed,S,Central,11.83,2.281666667,11.37,4.086,8,8,7,2,2,2,4.714285714,5.5,16,25.87249498,22.89153846,29.18884615,6.297307692,2.650851433,2,28.08
553,P ver 027,Unknown,Unknown,,,,,Bad,Good,mtORF1_E05,Plate3_C001,Saumarez,Saumarez 7,18/2/2020,3,2,5.49999988,21.91194,153.59119,Sheltered,NW,Southern,11.34999975,1.630277741,11.34999975,3.519999921,7,7,6,2,1,1,5.666666667,6.8,16,25.57165895,22.60423077,28.91807692,6.313846154,2.744465757,2,27.83
578,P ver 147,Unknown,Haplotype8a,,,,,Good,Good,mtORF1_E06,Plate3_E005,Flinders,Flinders 2,28/2/2020,3,3.87,6.869999846,17.70218,148.46655,Sheltered,N,Central,10.74999976,1.856944403,10.74999976,4.4819999,8,8,5,3,1,1,4.714285714,8.25,16.5,26.31470821,23.30346154,29.73115385,6.427692308,2.722278243,2,28.57
576,P ver 133,Unknown,Unknown,,,,,Bad,Bad,mtORF1_E07,Plate4_A004,Flinders,Flinders 6,27/2/2020,4,5.81,6.44,17.83089,148.51353,Sheltered,S,Central,10.57,1.833055556,10.57,4.446,8,8,5,2,1,1,4.714285714,8.25,18,26.30926966,23.29461538,29.71423077,6.419615385,2.728992912,2,28.57
571,P ver 094,Unknown,Unknown,,,,,Good,Good,mtORF1_E08,Plate4_H001,Marion,Marion 6,24/2/2020,1,4.84,6.219999861,19.12125,152.39993,Exposed,SE,Central,12.68999972,2.305555504,11.37999975,4.579999898,9,9,7,4,2,2,4.125,5.5,5.333333333,25.89770985,22.915,29.17230769,6.257307692,2.618386618,2,28.1
415,P ver 110,Pverrucosa,Pverrucosa,,,,,Bad,Bad,mtORF1_E09,Plate4_F002,Marion,Marion 6,24/2/2020,1,6.77,6.219999861,19.12125,152.39993,Exposed,SE,Central,12.68999972,2.305555504,11.37999975,4.579999898,9,9,7,4,2,2,4.125,5.5,5.333333333,25.89770985,22.915,29.17230769,6.257307692,2.618386618,2,28.1
566,P ver 071,Unknown,Unknown,,,,,Bad,Bad,mtORF1_F01,Plate1_D004,Frederick,Frederick 4,22/2/2020,4,7.4,7.01,20.93838,154.39737,Sheltered,W,Southern,12.51,2.380555556,12.51,4.532,9,9,7,4,3,1,4.25,5.5,5.333333333,25.45552554,22.48269231,28.79538462,6.312692308,2.625647495,2,27.69
550,P ver 012,Unknown,Haplotype8a,,,,,Good,Good,mtORF1_F02,Plate1_H001,Saumarez,Saumarez 3,18/2/2020,4,5.4,5.49999988,21.9178,153.58452,Sheltered,NW,Southern,11.34999975,1.630277741,11.34999975,3.519999921,7,7,6,2,1,1,5.666666667,6.8,16,25.57165895,22.60423077,28.91807692,6.313846154,2.744465757,2,27.83
585,P ver 197,Unknown,Haplotype8a,PunkC2,Good,Bad,psba1_E04,Good,Good,mtORF1_F04,Plate2_G006,Lihou,Lihou 1,4/3/2020,3,2.58,7.719999827,17.59707,151.48956,Sheltered,NW,Central,11.50999974,2.617777719,11.11999975,5.443999878,9,9,8,5,3,3,4.125,4.714285714,4,26.2792278,23.40461538,29.45730769,6.052692308,2.389980067,2,28.35
583,P ver 180,Unknown,Unknown,,,,,Good,Bad,mtORF1_F05,Plate3_C006,Chilcott,Chilcott 2,1/3/2020,5,4.19,6.649999851,16.9315,149.98988,Sheltered,NW,Central,9.679999784,1.939166623,9.679999784,5.409999879,10,10,6,3,3,1,3.666666667,6.6,2,26.53450512,23.68807692,29.59038462,5.902307692,2.2667553,2,28.54
592,P ver 257,Unknown,Haplotype8a,,,,,Good,Good,mtORF1_F06,Plate3_E008,Moore,Moore 5,7/3/2020,2,11.29,9,15.97315,149.35715,Exposed,E,Central,11.32,2.067222222,11.32,5.72,7,7,6,5,2,1,5.5,6.6,8.25,26.76706901,23.97884615,29.89230769,5.913461538,2.30675532,2,28.78
559,P ver 050,Unknown,Unknown,,,,,Bad,Good,mtORF1_F07,Plate4_B001,Wreck,Wreck 4,20/2/2020,4,6.1,5.73999987,22.16968,155.47392,Sheltered,NE,Southern,12.82999971,2.633611052,12.82999971,3.645999919,13,13,11,6,2,2,2.833333333,3.4,6.8,25.00222234,21.98307692,28.34538462,6.362307692,2.778482312,2,27.22
579,P ver 152,Unknown,Haplotype8a,,,,,Good,Good,mtORF1_F08,Plate4_H004,Herald,Herald 1,29/2/2020,3,10.32,7.959999822,16.94348,149.18565,Semi-exposed,N,Central,11.91999973,2.054999954,11.91999973,5.719999872,6,6,6,4,2,1,6.6,6.6,6,26.55217763,23.66230769,29.79269231,6.130384615,2.42345475,2,28.62
427,P ver 123,Pverrucosa,Pverrucosa,,,,,Good,Good,mtORF1_F09,Plate4_F003,Flinders,Flinders 5,27/2/2020,2,4.84,6.44,17.86163,148.46652,Semi-exposed,W,Central,10.5,1.854166667,10.5,4.434,7,7,5,3,1,1,5.5,8.25,16.5,26.30504647,23.27269231,29.71038462,6.437692308,2.758669236,2,28.57
601,P ver 351,Unknown,Unknown,,,,,Bad,Good,mtORF1_G01,Plate1_D010,Bougainville,Bougainville 4,10/3/2020,3,9.35,10,15.50667,147.11234,Semi-exposed,SW,Northern,11.11,2.691111111,11.11,6.598,12,12,8,6,3,3,3.090909091,4.714285714,3.6,26.81601412,23.9,30.13423077,6.234230769,2.472540821,2,28.88
573,P ver 100,Unknown,Haplotype8a,,,,,Good,Good,mtORF1_G02,Plate1_H004,Marion,Marion 6,24/2/2020,5,9.35,6.219999861,19.12125,152.39993,Exposed,SE,Central,12.68999972,2.305555504,11.37999975,4.579999898,9,9,7,4,2,2,4.125,5.5,5.333333333,25.89770985,22.915,29.17230769,6.257307692,2.618386618,2,28.1
596,P ver 280,Unknown,Unknown,,,,,Good,Bad,mtORF1_G03,Plate2_D010,Moore,Moore 3,7/3/2020,4,6.45,9.08,15.87737,149.15955,Semi-exposed,N,Central,11.45,2.315555556,11.45,6.16,9,9,6,5,2,2,4.125,6.6,4.5,26.80518143,24.00807692,29.97884615,5.970769231,2.338708447,2,28.81
589,P ver 229,Unknown,Haplotype8a,PunkC2,Bad,Good,psba1_F04,Good,Good,mtORF1_G04,Plate2_G007,Willis,Willis 7,6/3/2020,4,6.45,9.6,16.28728,149.9593,Sheltered,W,Central,12.22,2.493333333,12.22,6.986,10,10,8,6,3,2,3.666666667,4.714285714,6.6,26.75077647,23.94653846,29.73807692,5.791538462,2.183916011,2,28.69
604,P ver 356,Unknown,Haplotype8a,PunkC3,Good,Good,psba1_C05,Good,Good,mtORF1_G05,Plate3_C011,Bougainville,Bougainville 4,10/3/2020,4,6.77,10,15.50667,147.11234,Semi-exposed,SW,Northern,11.11,2.691111111,11.11,6.598,12,12,8,6,3,3,3.090909091,4.714285714,3.6,26.81601412,23.9,30.13423077,6.234230769,2.472540821,2,28.88
597,P ver 283,Unknown,Haplotype8a,,,,,Good,Good,mtORF1_G06,Plate3_E009,Holmes,Holmes 7,8/3/2020,1,8.39,9.67,16.42693,147.98442,Semi-sheltered,NW,Central,11,2.188611111,11,5.4,8,8,6,5,3,3,4.714285714,6.6,8.25,26.61521342,23.67769231,29.91846154,6.240769231,2.536093596,2,28.76
562,P ver 058,Unknown,Unknown,PunkC1,Good,Good,psba1_E06,Bad,Good,mtORF1_G07,Plate4_C001,Frederick,Frederick 2,22/2/2020,4,3.5,7,21.01043,154.34743,Semi-sheltered,W,Southern,12.54,2.359722222,12.54,4.414,10,10,5,4,2,1,3.777777778,4.5,5.333333333,25.45852955,22.48653846,28.80153846,6.315,2.625412176,2,27.69
329,P ver 155,Pmeandrina,Pmeandrina,,,,,Good,Good,mtORF1_G08,Plate4_C005,Herald,Herald 1,29/2/2020,2,7.42,7.959999822,16.94348,149.18565,Semi-exposed,N,Central,11.91999973,2.054999954,11.91999973,5.719999872,6,6,6,4,2,1,6.6,6.6,6,26.55217763,23.66230769,29.79269231,6.130384615,2.42345475,2,28.62
444,P ver 149,Pverrucosa,Pverrucosa,,,,,Good,Good,mtORF1_G09,Plate4_F004,Herald,Herald 1,29/2/2020,3,11.61,7.959999822,16.94348,149.18565,Semi-exposed,N,Central,11.91999973,2.054999954,11.91999973,5.719999872,6,6,6,4,2,1,6.6,6.6,6,26.55217763,23.66230769,29.79269231,6.130384615,2.42345475,2,28.62
577,P ver 143,Unknown,Haplotype8a,,,,,Good,Good,mtORF1_H01,Plate1_E005,Flinders,Flinders 2,28/2/2020,4,8.06,6.869999846,17.70218,148.46655,Sheltered,N,Central,10.74999976,1.856944403,10.74999976,4.4819999,8,8,5,3,1,1,4.714285714,8.25,16.5,26.31470821,23.30346154,29.73115385,6.427692308,2.722278243,2,28.57
587,P ver 209,Unknown,Unknown,,,,,Good,Bad,mtORF1_H02,Plate2_B007,Lihou,Lihou 2,4/3/2020,4,6.13,7.719999827,17.59065,151.50027,Sheltered,N,Central,11.50999974,2.617777719,11.11999975,5.443999878,9,9,8,5,3,3,4.125,4.714285714,4,26.2792278,23.40461538,29.45730769,6.052692308,2.389980067,2,28.35
600,P ver 349,Unknown,Haplotype8a,PunkC3,Good,Good,psba1_D03,Good,Good,mtORF1_H03,Plate2_D011,Bougainville,Bougainville 4,10/3/2020,5,8.71,10,15.50667,147.11234,Semi-exposed,SW,Northern,11.11,2.691111111,11.11,6.598,12,12,8,6,3,3,3.090909091,4.714285714,3.6,26.81601412,23.9,30.13423077,6.234230769,2.472540821,2,28.88
569,P ver 087,Unknown,Unknown,,,,,Good,Good,mtORF1_H04,Plate2_H003,Marion,Marion 8,23/2/2020,4,2.26,6.08,19.29981,152.23572,Exposed,S,Central,11.83,2.281666667,11.37,4.086,8,8,7,2,2,2,4.714285714,5.5,16,25.87249498,22.89153846,29.18884615,6.297307692,2.650851433,2,28.08
609,P ver 377,Unknown,Unknown,,,,,Bad,Bad,mtORF1_H05,Plate3_C012,Bougainville,Bougainville 5,10/3/2020,4,9.35,10,15.50083,147.09891,Semi-exposed,SW,Northern,11.11,2.691111111,11.11,6.598,12,12,8,6,3,3,3.090909091,4.714285714,3.6,26.81601412,23.9,30.13423077,6.234230769,2.472540821,2,28.88
593,P ver 259,Unknown,Unknown,,,,,Good,Good,mtORF1_H06,Plate3_F008,Moore,Moore 5,7/3/2020,3,9.68,9,15.97315,149.35715,Exposed,E,Central,11.32,2.067222222,11.32,5.72,7,7,6,5,2,1,5.5,6.6,8.25,26.76706901,23.97884615,29.89230769,5.913461538,2.30675532,2,28.78
602,P ver 353,Unknown,Haplotype8a,,,,,Good,Good,mtORF1_H07,Plate4_D008,Bougainville,Bougainville 4,10/3/2020,2,9.03,10,15.50667,147.11234,Semi-exposed,SW,Northern,11.11,2.691111111,11.11,6.598,12,12,8,6,3,3,3.090909091,4.714285714,3.6,26.81601412,23.9,30.13423077,6.234230769,2.472540821,2,28.88
340,P ver 179,Pmeandrina,Pmeandrina,,,,,Good,Good,mtORF1_H08,Plate4_C006,Chilcott,Chilcott 2,1/3/2020,4,4.19,6.649999851,16.9315,149.98988,Sheltered,NW,Central,9.679999784,1.939166623,9.679999784,5.409999879,10,10,6,3,3,1,3.666666667,6.6,2,26.53450512,23.68807692,29.59038462,5.902307692,2.2667553,2,28.54
476,P ver 220,Pverrucosa,Pverrucosa,,,,,Good,Good,mtORF1_H09,Plate4_F006,Willis,Willis 7,6/3/2020,3,6.45,9.6,16.28728,149.9593,Sheltered,W,Central,12.22,2.493333333,12.22,6.986,10,10,8,6,3,2,3.666666667,4.714285714,6.6,26.75077647,23.94653846,29.73807692,5.791538462,2.183916011,2,28.69
